latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
28.183171025,85.30376260833333,1709.9875,0.00000,245,2023,-54.355
28.183173294444444,85.30376914444444,1710.6288,0.00833,245,2023,-55.141
28.18317367777778,85.3037730972222,1710.773,0.01667,245,2023,-54.786
28.18317358333334,85.30377342222222,1710.6596,0.02500,245,2023,-54.643
28.18317278055556,85.30377300277777,1710.7464,0.03333,245,2023,-54.881
28.183172938888895,85.30377214444444,1710.6964,0.04167,245,2023,-53.824
28.18317301944445,85.30377278333333,1710.8082,0.05000,245,2023,-54.193
28.183173152777787,85.30377299999999,1710.9302,0.05833,245,2023,-55.483
28.183173091666667,85.30377249166666,1710.9566,0.06667,245,2023,-54.609
28.183173102777783,85.30377290555553,1711.0483,0.07500,245,2023,-54.758
28.18317324722222,85.30377296944442,1711.1622,0.08333,245,2023,-55.015
28.183173225,85.30377316111111,1711.2937,0.09167,245,2023,-54.981
28.18317331944445,85.30377317777776,1711.2003,0.10000,245,2023,-55.299
28.183173441666668,85.30377355833332,1711.1203,0.10833,245,2023,-55.183
28.183173461111114,85.30377337222221,1711.0468,0.11667,245,2023,-55.916
28.183173508333333,85.30377293055555,1710.9714,0.12500,245,2023,-54.630
28.18317348888889,85.30377296944442,1710.9349,0.13333,245,2023,-55.873
28.183173452777783,85.30377285833333,1710.8849,0.14167,245,2023,-54.796
28.183173475,85.30377274444444,1710.8493,0.15000,245,2023,-55.111
28.183173533333335,85.30377270277776,1710.8265,0.15833,245,2023,-55.199
28.183173611111112,85.3037723833333,1710.7999,0.16667,245,2023,-54.675
28.183173686111115,85.30377222777778,1710.7677,0.17500,245,2023,-55.465
28.183173772222222,85.30377205833334,1710.7348,0.18333,245,2023,-54.771
28.183173825,85.30377198333332,1710.7087,0.19167,245,2023,-55.182
28.18317388888889,85.30377174444445,1710.6789,0.20000,245,2023,-55.269
28.183173913888893,85.30377189166667,1710.6713,0.20833,245,2023,-55.692
28.183173902777778,85.30377205555556,1710.658,0.21667,245,2023,-55.886
28.183173897222225,85.30377194444442,1710.6309,0.22500,245,2023,-54.551
28.18317393888889,85.30377172222222,1710.5846,0.23333,245,2023,-55.165
28.183173947222226,85.30377168055554,1710.5614,0.24167,245,2023,-54.468
28.183173977777784,85.30377164999999,1710.5387,0.25000,245,2023,-55.080
28.183174019444447,85.30377151944442,1710.5107,0.25833,245,2023,-54.918
28.183174047222227,85.30377143888889,1710.4849,0.26667,245,2023,-55.408
28.183174063888895,85.30377140277778,1710.4702,0.27500,245,2023,-55.570
28.183174097222228,85.30377119166668,1710.4473,0.28333,245,2023,-55.236
28.183174127777782,85.30377094722222,1710.4189,0.29167,245,2023,-55.710
28.183174150000003,85.30377075833333,1710.3976,0.30000,245,2023,-54.796
28.183174166666667,85.30377052499999,1710.3811,0.30833,245,2023,-54.765
28.183174191666666,85.30377031388889,1710.356,0.31667,245,2023,-55.896
28.18317421944445,85.30377019444441,1710.3389,0.32500,245,2023,-55.507
28.18317425,85.30376997777776,1710.3171,0.33333,245,2023,-54.990
28.183174272222224,85.30376979444442,1710.2957,0.34167,245,2023,-54.994
28.183174311111117,85.303769375,1710.2518,0.35000,245,2023,-55.194
28.183174361111117,85.30376895833334,1710.2088,0.35833,245,2023,-55.718
28.183174361111117,85.30376896388888,1710.2067,0.36667,245,2023,-55.529
28.18317436388889,85.3037689611111,1710.2026,0.37500,245,2023,-54.596
28.183174369444448,85.30376895277777,1710.1983,0.38333,245,2023,-55.775
28.18317437777778,85.30376893333332,1710.1944,0.39167,245,2023,-54.828
28.18317437777778,85.30376892777777,1710.1951,0.40000,245,2023,-55.166
28.183174372222222,85.3037689111111,1710.195,0.40833,245,2023,-54.918
28.183174372222222,85.30376889444445,1710.1961,0.41667,245,2023,-55.020
28.183174361111117,85.30376888055552,1710.1986,0.42500,245,2023,-54.264
28.183174355555554,85.30376888055552,1710.203,0.43333,245,2023,-55.051
28.183174361111117,85.30376886388888,1710.2045,0.44167,245,2023,-54.770
28.18317435833334,85.30376886388888,1710.2047,0.45000,245,2023,-55.023
28.183174361111117,85.30376886944443,1710.2068,0.45833,245,2023,-55.031
28.183174355555554,85.30376889722221,1710.2111,0.46667,245,2023,-54.933
28.183174355555554,85.30376891388889,1710.2152,0.47500,245,2023,-55.040
28.183174361111117,85.3037689361111,1710.2179,0.48333,245,2023,-54.566
28.183174375000004,85.30376894166668,1710.2145,0.49167,245,2023,-54.460
28.18317437777778,85.30376894999999,1710.2146,0.50000,245,2023,-55.146
28.183174375000004,85.303768975,1710.216,0.50833,245,2023,-54.953
28.183174369444448,85.30376900277776,1710.2193,0.51667,245,2023,-55.615
28.18317435833334,85.30376903055556,1710.2253,0.52500,245,2023,-55.271
28.183174347222224,85.30376904999999,1710.2306,0.53333,245,2023,-55.325
28.183174341666664,85.30376906944443,1710.2341,0.54167,245,2023,-55.002
28.18317433888889,85.3037690861111,1710.2363,0.55000,245,2023,-55.757
28.18317433888889,85.30376912222222,1710.241,0.55833,245,2023,-54.664
28.183174341666664,85.30376915555556,1710.2434,0.56667,245,2023,-54.491
28.183174341666664,85.30376918055555,1710.2442,0.57500,245,2023,-54.990
28.18317433888889,85.30376920277776,1710.2459,0.58333,245,2023,-55.284
28.183174341666664,85.30376921111112,1710.2451,0.59167,245,2023,-54.725
28.18317434444445,85.30376921666668,1710.2456,0.60000,245,2023,-55.042
28.183174341666664,85.30376925555555,1710.2483,0.60833,245,2023,-54.525
28.183174341666664,85.30376926666663,1710.2476,0.61667,245,2023,-54.812
